,Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage
462,Chiratae Ventures,2018,Bangalore,Venture capital,A leading tech venture capital fund focused on enabling entrepreneurs in India.,"Vaishali Kulkarni, Arjun Singh Bajwa",,0,Seed Funding
463,MedLife,2014,Bangalore,Health,"An India online platform, which provides pharmacy, diagnostics, and e-consultation in India.","Ananth Narayanan, T-ushar Kumar",Ivy Icon,68000000,Seed
464,IDfy,2011,Mumbai,IT,IDfy provides risk and fraud solutions,"Ashok Hariharan, Vineet Jawa","Millenna FVCI III, NB Ventures, Dream Incubator",21100000,Series A
465,True Balance,2014,Gurugram,Finance,Earn money by meeting financial needs of your friends and neighbors.,"Charlie, Jay, Martin",Balancehero,280000000,Series C
466,Bira91,2015,New Delhi,Craft Beer,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,Ankur Jain,Anicut Capital,7640000,Seed
467,Max wholesale,2016,New Delhi,E-commerce,MaxWholesale is an online distributor that provides authentic FMCG goods,"Samarth Agrawal, Rohit Narang","Al Falaj Commercial Investment Co, Vistra ITCL India",6030000,Seed
468,Craftsvilla,2011,Mumbai,E-commerce,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories","Manoj Gupta, Monica Gupta",Supera Investments,4090000,Seed
469,MechMocha,2011,Bangalore,Entertainment,India's first vernacular social gaming platform,"Arpita Kapoor, Mohit Rangaraju, Shilp Gupta","Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc",2920000,Series A
470,Mindhouse,2019,Gurugram,Healthtech,A gym to train your mind offering workouts and programmes,"Pankaj Chaddah, Staff Pooja Khanna","GGV Capital, Sahi Barual",2860000,Seed
471,DeepSync,2018,Chandigarh,AI startup,"A revolutionary way to record your content, without you really speaking","Ishan Sharma, Rishikesh","Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund",1360000,Seed
472,Eruditus,2010,Mumbai,Education,Bring world-class business and professional education to a global audience,"Chaitanya Kalipatnapu, Ashwin Damera","Bertelsmann India Investments, Sequoia Capital India",1130000000,Seed
473,Gradeup,2015,Noida,Education,"India's largest exam preparation destination,",Shobhit Bhatnagar,"Times Internet, TLabs",5460000,Seed
474,Tracxn,2013,Bangalore,Investment,Tracxn is the research partner for Venture Capitalist,"Abhishek Goyal, Neha Singh","Saif partners, Accel partners, Sequoia capital",8870000,Series B
475,Purple Style Labs,2015,Mumbai,Fashion,Shopping experience and foster the growth of Indian brands and designers.,Abhishek Agarwal,"Jitendra Gupta, Astarc Ventures.",430000,Seed
476,ProPhysio,2016,Bangalore,Health,The largest provider of physiotherapy and rehabilitation services,Pramod Ravindra,Nestavera Ventures.,409000,Seed
477,Flickstree,2014,Mumbai,Tech,World's largest video publisher,"Saurabh Singh, Rahul Jain, Nagender Sangra","MOX, Venture Catalysts",409000,Seed
478,Settl,2015,Gurugram,TravelTech,Get affordable AC bus-rides everyday,"Amit Singh, Deepanshu Malviya","Sojitz, SIG Global India Fund",0,Seed
479,Fanspole,2015,Thane,Entertainment,India's only social fantasy gaming platform,"Aniket Shinde, Hardik Gondaliya","Mohan Verma, Better Capital",0,Pre-Seed
480,Sarva,2016,Mumbai,Healthcare,A wellness ecosystem built on the authentic foundations of Yoga,Sarvesh Shashi,"Shikhar Dhawan, Mantra Capital",0,Seed
481,Univ.ai,2019,Bangalore,EdTech,"A distributed, global educational powerhouse that draws on technology","Siddharth Das, Dr Rahul Dave, Dr Pavlos Protopapas",Kiran Mazumdar Shaw.,0,Seed
482,PurohitJi,0,Bangalore,Linguistic Spiritual,App for Hindu Puja Products & Services,Nakerikanti Harish,Bhadresh,0,Seed
483,CredoLab,2015,Singapore,Tech,AI credit scoring platform,Peter Barcak,"GB Group, Walden International",70000000,Series A
484,Brick&Bolt,2018,Bangalore,Construction,"A construction company doing house construction, building construction, commercial construction","Arpit Rajpurohit, Jayesh Rajpurohit","Meghna Agarwal, Navin Dhanuka",22000000,Series A
485,Grinntech,2013,Chennai,Battery manufacturer,Leading on all fronts of battery design,"Nikhilesh Mishra, Puneet Jain","V Sumantran, V Lakshmi Narayanan",20000000,Seed
486,6Degree,2014,Mumbai,Fashion,India's leading fashion business platform,"Amit Bhardwaj, Nikhil Hegde.","Keiretsu Forum, SucSEED Venture Partners",3400000,Seed
487,Exprs,2018,,Nano Distribution Network,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.","Srinivas Madhavam, Srikanth Rajashekhar, Rahul Mehta","Sweta Rau, Sandeep Kapoor",56600000,Seed
488,Bikayi,2019,Hyderabad,E-commerce,Provides free whatsapp integrated E-Commerce Store,"Sonakshi Nathani, Ashutosh Singla",Mantis ventures,20000000,Seed round
489,Virtual Forest,2019,Bangalore,Tech,Tracking seasonal change in virtual forest,Omer Basith,Napino Auto and Electronics Ltd,0,Seed
490,The Health company,2018,Gurugram,AI health,Organic superfoods & free personal health coaching that actually work.,"Devansh Jain Nawal, Ackshay Jain","VCATS, First Cheque, 9Unicorns, Marquee investors",3500000,Seed
491,TrulyMadly Matchmakers,2014,Gurugram,Dating app,One of the best dating Apps in India connecting singles across the country.,Snehil Khanor,"AngelList, Inflection Point Ventures, The Chennai Angels",1100000,Pre-series A
492,TrueFan,2020,Mumbai,Media,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,"Nimish Goel, Nevaid Aggarwal, Devender Bindal","Mayfield India, Saama Capital, Ronnie Screwvala",43000000,Seed round
493,Fanspole,2015,Mumbai,Gaming,A free app that users can use to create contests and play,"Aniket Shinde, Hardik Gondaliya",Better Capital,0,Pre-seed Round
494,Byju's,2011,Bangalore,EdTech,Provides online learning classes,Byju Raveendran,DST Global,1220000000,Seed
495,Avail Finance,2017,Bangalore,Fintech,Instant online loan app,"Ankush Aggarwal, Tushar Mehndiratta","Alphawave, Matrix Partners",116350000,Series B
496,The Money Club,0,Delhi,AI,AI based chit fund cashier app,"Manuraj Jain, Surajit Raj",Venture Catalysts,0,Seed
497,Virohan,2018,Gurgaon,Healthcare/Edtech,Healthcare training company,"Kunaal Dudeja, Nalin Saluja, Archit Jayaswal","Keiretsu Forum, Elea Foundation",28000000,Seed Round & Series A
498,OneCode,0,Gurugram,Social Commerce,Connects new-age digital first brands with relevant sellers,"Manish Shara, Yash Desai",WaterBridge Ventures,0,Seed round
499,Verloop.io,2015,,AI,Helps automate customer service using Artificial Intelligence,Gaurav Singh,Alpha Wave incubation,50000000,Seed
500,Otipy,2020,,Agritech/Commerce,Connects consumers with farmers thorugh women resellers,Varun Khanna,Inflection Point Ventures,10000000,Pre Series A
501,Evage,2014,Chandigarh,Mobility tech,Develop emissions-free electric commercial vehicles,Inderveer Singh,Anand Shah,0,Seed
502,LEAD School,2012,Mumbai,EdTech,Offers an integrated system for schools by helping them digitize the entire curriculum,"Sumeet Yashpal Mehta, Smita Deorah","WestBridge Capital, Elevar Equity",280000000,Series C
503,Trell,2016,Bangalore,Social e-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch",110000000,Series A
504,Captain Fresh,2019,Bangalore,Food & Logistics,Sea food Supply chain,Utham Gowda,Ankur Capital,23000000,Pre Series A
505,Teachmint,0,Bangalore,EdTech,Empowers tutors with tools to deliver effective learning outcomes for students and parents,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Better Capital,0,Seed
506,Pixxel,2019,Bangalore,SpaceTech,Indian Earth observation startup,"Kshitij Khandelwal, Awais Ahmed","Lightspeed India Partners, Blume Ventures, GrowX ventures",50000000,Seed round
507,Habbit Health,2019,Delhi,Nutrition Tech,Applies modern science for healthier life through proprietary foods & digital ecosystem,Dhruv Bhushan,"3one4 Capital, Angel list India",0,Pre seed Round
508,SmarterBiz,2014,Bangalore,Tech,An end-to-end CX platform enabled with the gig workforce,"Rajesh Bernard, Vijay Krishna, Prateek Mehta","StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.",10650000,Pre Series A
509,Able Jobs,2019,Bangalore,HR,Provides end to end hiring support to companies,"Ravish Agrawal, Swatantra Kumar, Siddharth Srivastav","SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.",20000000,Seed
510,Vieroots,2018,Kochi,Healthtech,Personalised lifestyle management using epigenetic science,Sanjeev Nair,Suniel Shetty,0,Seed
511,Stack Finance,2019,Bangalore,Fintech,"It automates invesments, expenses, borrowing under a single platform",Smriti Tomar,"SOSV, MOX (Mobile Only Accelerator)",0,Seed round
512,FPL Technologies,0,Pune,Fintech,OneScore app is built by FPL - Free credit scoring and monitoring,Anurag Sinha,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures",100000000,Series A
513,Masai School,2019,Bangalore,EdTech,It trains tech aspirants in full stack wed and android development,"Prateek Shukla, Nrupul Dev, Yogesh Bhat","Unitus Ventures, India Quotient, AngelList India",25000000,Series A
514,Mitron,0,Bangalore,Media,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal.",Nexus Venture Partners,50000000,Series A
515,Daalchini,2017,,IoT,Physical and Digital vending machines startup,"Prerna Kalra, Vidya Bhushan",Artha Venture Fund,6690000,Pre Series A
516,Suno India,2018,,Media,Multilingual podcast platform,"DVL Padma Priya, Rakesh Kamal, Tarun Nirwan",Shobu Yarlagadda,0,Angel Round
517,LendingKart,2014,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Public banks, Private lenders","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient",160760000,Series D
518,Text Mercato,2015,Bangalore,,Cataloguing startup that serves ecommerce platforms,"Kiran Ramakrishna, Subhajit Mukherjee",1Crowd,6496000,Series A
519,Eden Smart Homes,2018,,IoT,Develops smart home automation systems,"Pranjal Kacholia, Divyansh Mathur",Inflection Point Ventures,0,Seed
520,GrayQuest,2017,Mumbai,EdTech,Enables parents to pay their annual education fees in up to 12 monthly installments,Rishab Mehta,Foundation Holdings,10000000,Pre Series A
521,BigHaat,2015,Bangalore,Agritech,Agri-inputs ecommerce player,"Sateesh Nukala, SachinNandwana","Ankur Capital, Beyond Next Ventures",20000000,Pre Series A
522,CityCash,2017,Mumbai,Fintech,Focusses on creating a transit led micro-payments ecosystem,Vineet Toshniwala,Orios Venture Partners,10000000,Seed round
523,HomeLane,2014,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",10000000,Series D
524,HungerBox,2015,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar",IIFL Income Opportunities Fund,67000000,Series C
525,DaveAI,0,Bangalore,AI,Sales augmentation platform with a vision to democratise AI for enterprises,"Ananthakrishnan Gopal, Ashok Balasundaram, Sriram P H",Mumbai Angels Network,0,Seed
526,Eduvanz,2016,Mumbai,Fintech,Digital finance NBFC that provides affordable education loans,"Varun Chopra, Raheel Shah",Sequoia India,50000000,Series A
527,ZipLoan,2015,Delhi,Fintech,Provides loans to MSMEs,"Kshitj Puri, Shalabh Singhal",Stride Ventures,20000000,Seed
528,DocSumo,2019,Mumbai,AI,Platform helps to automate and analyse financial data,"Rushabh Sheth, Bikram Dahl","Better Capital, TechStars, Barclays.",2200000,Seed round
529,CUSMAT,2016,Warangal,AR/VR,It builds high immersion training systems for enterprises,"Abhinav Ayan, Anirban Jyoti Chakravorty, Soumyaranjan Harichandan","Venture Catalysts,  Raveen Sastry",0,Seed
530,Chingari,2018,Bangalore,Media,Short video platform,"Biswatma Nayak, Siddharth Gautam","AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati",13000000,Seed round
531,Bolo Indya,0,Gurugram,Media,User-generated content platform,Varun Saxena,"Eagle10 Ventures, India Accelerator, HNIs",3000000,Pre series A1
532,Data Sutram,2018,Kolkata,AI,Platform gathers intel from external data to provide location-based data intelligence.,"Rajit Bhattacharya, Aisik Paul, Ankit Das","Uday Sodhi, Mitesh Shah, Nitin Jain",2665000,Seed
533,Wobot Intelligence,0,Delhi,AI,AI backed video analytics platform,"Adit Chhabra, Tapan Dixit,Tanay Dixit.",Sequoia Capital India,25000000,Pre Series A
534,DrinkPrime,0,Bangalore,Appliance,Subscription-based Water purifier startup,"Viijender Reddy, Manas Ranjan Hota",Sequoia Surge,28790000,Pre Series A
535,Infeedo,2013,Gurugram,HR tech,An employee engagement HR analytics platform,"Tanmaya Jain, Varun Puri",Y Combinator,7000000,Seed
536,Probus Smart Things,0,Delhi,IoT,Platform for monitoring distribution sub-station performance and operations,"Anand Singh, Ankit Vaish",Unicorn India Ventures,0,Seed round
537,CrowdPouch,0,Bangalore,Tech,A reward-based fundraising and preselling platform,Vittal Ramakrishna,Elina Investments,0,Angel Round
538,Rebel Foods,2011,Mumbai,Food tech,Cloud kitchen platform,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,265000000,Series E2
539,Hevo,2017,Bangalore,Tech,Data pipeline startup,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom",80000000,Series A
540,BigSpoon Foods,2019,Ahmedabad,Foodtech,Cloud kitchen startup,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",20000000,Pre series A
541,Chingari,0,Bangalore,Media,Homegrown short video platform,Sumit Ghosh,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.",10000000,Seed Round
542,ShareChat,2015,Bangalore,Media,Indian social network platform,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda",3510000,Seed
543,DatStop,0,Delhi,Hospitality,It offers urban social space,Dhruvin Shah,"Shabir Momin, OneDigital Entertainment,  Saurabh Pathak.",0,Seed
544,IPHM Services,0,Mumbai,Mental Health,It helps design programs and workshops for the psychological well-being of individuals,Dr. Sachin Bhavsar,Indian Angel Fund,0,Seed Round
545,Wellcure,0,Gurugram,Healthtech,It caters to all health and wellness needs,"Sumeet Kapur, Ankur Bhatia, Aanchal Kapur",Inflection Point Ventures,2000000,Seed
546,VilCart,2018,Bangalore,Ecommerce,"Retail industry in rural India through technology, supply chain, and logistics facilities.","Prasanna Kumar, Mahesh Bhat, Rajasekhar, Amith S Mali","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",0,Bridge Round
547,Firescore,0,Mumbai,Gaming,Game development studio,"Karan Khairajani, Surojit Roy",Crazy Labs,5000000,Seed
548,BulBul,2018,Gurgaon,Social commerce,A video and livestream led commerce platform that makes online shopping engaging,"Sachin Bhatia, Atit Jain",Info Edge,87000000,Seed
549,Toppr,2013,Mumbai,Edtech,It provides AI-based after school learning app for K12,Zishaan Hayath,Foundation Holdings,467610000,Series D
550,Pickright Technologies,2019,Bangalore,Fintech,Marketplace for stock market investors and advisors,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",1750000,Seed Round
551,Muse Wearables,2018,Chennai,Tech,It sells the world’s first payment-enabled hybrid smartwatches,"K.L.N Sai Prasanth, Yathindra Ajay K.A, K. Prathyusha",Dr. Bhaskar Rao Bollineni,30000000,Seed
552,SATYA Microcapital,1995,Delhi,Fintech,Microfinance company that offers collateral-free credit to micro enterprises,Vivek Tiwari,BlueOrchard Finance Limited,160792150,Seed
553,WYN Studio,0,Gurugram,Media,It creates video content and podcasts,"Bijay Gautam, Souniya Khurana",India Angel Fund,0,Seed Round
554,Fourth Partner Energy,2010,Bangalore,Solar Solution,Largest startup in the distributed solar sector,Saif Dhorajiwala,ResponsAbility Investments AG,150000000,Seed
555,Entri,2017,Kochi,Edtech,Local language learning startup,Mohammed Hisamuddin,Good Capital,17000000,Pre series A
556,Snack Amor,2017,Mumbai,Foodtech,Healthy snack startup,Deepak Grover,Dr Srinivas Chunduru,0,Seed
557,MPowered,0,Gurugram,SaaS,Asset Management Solutions,Sudeep Singh,"Ashok Nichani, Shelly Nichani",210000000,Pre series A
558,Leap Club,2020,Gurugram,Social e-commerce,Community led professional network for women,"Ragini Das, Anand Sinha",Titan Capital,0,Seed
559,Ather Energy,2013,Bangalore,Automobile,Electric scooter manufacturer,"Tarun Mehta, Swapnil Jain",Hero MotoCorp,112410000,Series C
560,Gigforce,0,Bangalore,HR tech,Provides staffing solutions for businesses,"Chirag Mittal, Parag Modi, Anirudh Syal",Unitus Venture,8040000,Seed
561,Vegrow,2020,Bangalore,Agritech,It is building an asset-light farm by partnering with small farms on a profit-sharing model,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Matrix Partners India, Ankur Capital",25000000,Seed Round
562,Finn,2019,Bangalore,Fintech,Neobanking startup that digitises all banking transactions,"Suman Maram, Sudheer Maram","Unicorn India, PointOne Capital, Astir Ventures",0,Pre series A
563,Bijnis,2015,,B2B marketplace,Provides a platform for manufacturers and retailers in digital transaction,"Siddharth Vij, Siddharth Rastogi, Shubham Agarwal, Chaitanya Rathi","Sequoia Capital India, Matrix Partners India, InfoEdge, Waterbridge Ventures",100000000,Series A
564,iNurture,2009,Bangalore,Edtech,"It provides a conducive and healthy teaching, learning environment",Ashwin Ajila,BlackSoil Capital,13400000,Seed
565,StyleDotMe,2014,Gurugram,Fashion Tech,"mirrAR, helps jewellers sell jewellery with no physical inventory","Meghna Saraogi, Akhil Tolani",Survam Partners,4670000,Pre series A
566,Ripsey,2018,Mumbai,Nutrition tech,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,"Silky Singh, Alkheya Boora Rpsey",Ah! Ventures,1330000,Seed
567,ThriveFNC,2017,Pune,Health & Wellness,Focusses on reversing chronic lifestyle disorders through functional nutrition.,Mugdha Pradhan,Rajesh Ranavat,0,Seed Round
568,Vedantu,2011,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Coatue,1000000000,Series D
569,Magicpin,2015,Gurugram,,"It is a local discovery, rewards, and commerce platform","Anshoo Sharma, Brij Bhushan",Samsung Venture Investment Corporation,70000000,Series D
570,Procol,2018,Delhi,Agritech,Commodity procurement platform,"Gaurav Baheti, Sumit Mendiratta",Sequoia Surge,38230000,Seed
571,Yumlane,2016,Mumbai,Cloud Kitchen,Online retailer that offers a range of on-the-go hot snacking and meals,Hitesh Ahuja,Jetty Ventures,10000000,Pre series A
572,Crio,2018,Bangalore,Edtech,A learning platform for developers,"Rathinamurthy R, Sridher Jeyachandran",021 Capital,9340000,Seed
573,Openapp,0,Bangalore,IoT,Security solutions startup,Gotama Gowda,Unicorn India Ventures,5000000,Seed
574,PumPumPum,0,Gurugram,IoT/Automobile,Offers leased car services,"Tarun Lawadia, Sameer Kalra",LetsVenture Syndicate,2930000,Seed
575,uFony Services Pvt ltd,0,Pune,Edtech,"School Diary, a platform that brings education to smartphones",Ashish C,Chennai Angels,0,Seed
576,Protinus Fashion Networking Pvt Ltd,2015,Mumbai,Fashion,Owns and operates fashion commerce and retail management platform 6Degree,"Nikhil Hegde, Amit Bhardwaj",SucSEED Ventures,0,Pre series A
577,Uable,0,Bangalore,Edtech,Online life skills development platform for children,Saurabh Saxena,3one4 Capital,0,Seed Round
578,ParkSmart,2019,Delhi,IoT,Parking spot reservation platform,"Prateek Garg, Vishva Sharma, Rahul Gupta, Rishabh Nagpal, Ratan Sethi",Ah! Ventures,1980000,Seed
579,Plum,2019,Bangalore,Healthtech,Provides health benefits to corporates,"Abhishek Poddar, Saurabh Arora",Incubate Fund,9270000,Seed Round
580,IncNut Digital,2011,Hyderabad,Ecommerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,"Chaitanya Nallan, Sangram Simha, Veerendra Shivhare",RPSG Ventures,40000000,Series A
581,GigIndia,2017,Pune,Tech,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,"Sahil Sharma, Aditya Shirole",Incubate Fund India,9710000,Pre series A
582,Specsmaker,2007,Chennai,Eye Wear,Online optical chain for eye wears,Pratik Shah,Eight Road Ventures,30600000,Seed
583,Piggy Ride,0,Bangalore,SaaS,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",Manish Tewari,"JAFCO Asia, Artha Venture Fund",18620000,Pre series A
584,Chai Waale,2018,Chennai,Beverage,Tea Brand,Vidur Maheshwari,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar",2320000,Seed
585,NOTO,0,Mumbai,Food,A brand that makes healthy icecream,"Ashni Sheth, Varun Sheth",WEH Ventures,0,Pre seed round
586,Cuemath,2013,Bangalore,Edtech,It helps students to learn math online,Manan Khurma,Trifecta Capital,28880000,Series B
587,Cars24,2015,Gurgaon,Automobile,Online platform for selling used cars,Vikram Chopra,Vivriti Capital,13280000,Seed
588,JetSynthesys,2012,Pune,Digital tech,Digital entertainment and technology company,RajanNavani,"Adar Poonawalla, Kris Gopalakrishnan",400000000,Seed
589,Earth Energy EV,2017,Mumbai,Automobile,Electric vehicles startup,Rushi Shenghani,LR Joshi,0,Seed Round
590,Green Cure,2015,Delhi,Health & Wellness,It sells herbal OTC products,"Sanchit Garg, Sanjeev Dadhich",Venture Catalysts,0,Seed
591,Blue Sky Analytics,2018,Gurugram,Data Intelligence,"It is building AI-powered infrastructure to analyse air quality, pollution etc","Abhilasha, Kshitij Purwar","Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs",12000000,Seed Round
592,Edhusk,2017,Jaipur,Edtech,Provieds personalised learning to students by leveraging technology-driven models,"Anuj Bhuria, Himanshu Kumar, Himanshu Meena",Mumbai Angel Network,0,Seed
593,Decentro,2020,Bangalore,Fintech,Automated API-based platform that enables financial integrations.,Rohit Taneja,Y Combinator,155000000,Series A
594,Zolostays,2015,Bangalore,Co-living,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry","Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",560000000,Series C
595,Frontier Markets,2011,Jaipur,Ecommerce,Women entreprenuers sells products and services to rural India,Ajaitha Shah,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.",22500000,Pre series A
596,Brainwired,2018,Kerala,Agritech,India’s first livestock health monitoring company,"Sreeshankar S Nair, Romeo P Jerard","Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",0,Seed
597,Aye Finance,2014,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Invest in Vision,167530000,Series E
598,Paper Boat,2013,Gurugram,Food & Beverages,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Sofina Ventures, A91 Emerging fund, SCI Growth Investment II, Catamarann Ventures",37000000,Seed
599,Ken42,2019,Bangalore,Edtech,A platform that caters to evolving needs of institutions,Ganesh Raju,Turbostart,14700000,Seed
600,Forbidden Foods,0,Delhi,Food,Packaged snacks company,Anuj Krishnan,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram",10000000,Seed Round
601,Universal Sportsbiz,2012,Bangalore,Fashion,Indian fashion industry with on-trend products,Anjana Reddy,NB Ventures,5300000,Seed
602,Gobbly,0,Gurugram,Retail Tech,A contactless retail store filled with fruits and veggies,Ooshma Garg,Sauce vc,5000000,Seed Round
603,Aerostrovilos,0,Chennai,Automotive,Manufactures micro gas turbines for power-based application,"Rohit Grover, Pradeep Thangappan",Mumbai Angels Network,0,Seed
604,Mitron,0,Bangalore,Media,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal","3One4 Capital, LetsVenture",2670000,Seed Round
605,Bulk MRO,2015,Mumbai,B2B,A full stack B2B platform for industrial supplies,"Devang Shah, Gaurang Shah",Stride Ventures,33440000,Seed
606,Inspektlabs,2019,Delhi,AI,Focuses on building computer vision products for physical asset inspections,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital",6000000,Pre series A
607,Big Bang Boom Solutions,2018,Chennai,Defense tech,It developed integrated intellectual properties for defense,"Praveen Dwarkanath, Dr. Shivaraman Ramaswamy",Mumbai Angels Network,10000000,Series A
608,Flinto,2013,Chennai,Edtech,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,72000000,Pre series B
609,Zetwerk,2018,Bangalore,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",Greenoaks,210000000,Series C
610,ChitMonks,2016,Hyderabad,Fintech,Offers enterprise private platform for chit fund firms,Pavan Adipuram,Unicorn India Ventures,6500000,Pre series A
611,Walrus,2019,Bangalore,Fintech,It provides banking solutions for teens and young adults,"Bhagaban Behera, Sriharsha Shetty, Nakul Kelkar",Better Capital,0,Pre-Seed
612,Arth Designbuild,0,Hyderebad,Construction tech,Construction technology and solutions provider,Swapnil Sahu,"Startup-O, Eden Ventures",11000000,Seed
613,goDutch,0,Mumbai,Fintech,Group Payments platform,"Aniruddh Singh, Riyaz Khan, Sagar Sheth","Matrix India, Y Combinator, Global Founders Capital, Soma Capital, VentureSouq",17000000,Seed Round
614,Rusk Media,2019,Delhi,Digital Media,It creates video content,Mayank Yadav,"InfoEdge Venture Fund, Sprout Venture Partners",0,Seed Round
615,Bold Care,2019,Mumbai,Health & Wellness,Digital platform that offers sexologist consultations for  men,"Rajat Jadhav, Rahul Krishnan, Harsh Singh, Mohit Yadav","Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand",0,Pre-seed Round
616,Samosa Party,2017,Bangalore,Food,Provides quality Indian Snacks,Amit Nanwani,Inflection Point Ventures,0,Seed
617,High Street Essentials,2012,New Delhi,Ecommerce,The parent company of women's fashion brands FabAlley and Indya,"Shivani Poddar, Tanvi Malik","SAIF Partners, India Quotient",27430000,Pre series C
618,Byju's,2011,Bangalore,Edtech,Provides online learning classes,Byju Raveendran,BOND,0,Seed
619,Slice,2016,Bangalore,Fintech,A financial platform for youngsters,Rajan Bajaj,Gunosy,60820000,Pre series B
620,Bombay Play,0,Bangalore,Gaming,It designs and creates online multiplayer games,"Abhas Saroha, Oliver Jones","Leo capital, Ramakant Sharma",15000000,Pre series A
621,Fullife,2011,Mumbai,Healthtech,It sells sports nutrition supplements through a brand called Fast&Up,Varun Khanna,Amansa Capital,66090000,Seed
622,Oziva,2016,,Nutrition,Clean Label Active Nutrition Brand,"Aarti Gill, Mihir Gadani",Matrix Partners,50000000,Series A
623,Aye Finance,2014,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma","Capital G, Alphabet's Independent growth fund",277000000,Series E
624,Aether Biomedical,2016,Delhi,Medtech,"Medical robotics startup, focussed on developing rehabilitation devices","Dhruv Agrawal, Faith Jiwakhan",Chiratae Ventures,0,Seed Investment
625,91springboard,2012,Delhi,Coworking,It offers collaborative workspace with varied amenities,"Vemuri, Deepak Sharma, Pranay Gupta, Varun Chawla","Pearl Brook Holdings Ltd, Al Nour International Holdings Co.",59400000,Seed
